FIPS,Date,Province_State,Lat,Long_,Confirmed,Deaths,Testing_Rate,Mortality_Rate
44.0,04-14-2020,RI,41.6809,-71.5118,3251,108,2161.680485,3.322054752383882
45.0,04-14-2020,SC,33.8569,-80.945,3553,97,672.0668257,2.7300872502110893
46.0,04-14-2020,SD,44.2998,-99.4388,988,6,1263.228843,0.6072874493927125
47.0,04-14-2020,TN,35.7478,-86.6923,5788,124,1200.789833,2.1423635107118177
48.0,04-14-2020,TX,31.0545,-97.5635,11108,363,637.2407983,3.267915016204537
49.0,04-14-2020,UT,40.15,-111.8624,2417,18,1621.699707,0.7447248655357882
50.0,04-14-2020,VT,44.0459,-72.7107,752,29,1733.566332,3.856382978723404
51.0,04-14-2020,VA,37.7693,-78.17,6182,154,540.8088547,2.491103202846975
53.0,04-14-2020,WA,47.4009,-121.4905,10799,599,1244.191097,5.546809889804612
54.0,04-14-2020,WV,38.4912,-80.9545,640,9,1287.832635,1.40625
55.0,04-14-2020,WI,44.2685,-89.6165,3555,170,7.641649523206275e-08,4.781997187060478
56.0,04-14-2020,WY,42.756,-107.3025,282,1,1199.420803,0.3546099290780142
1.0,04-15-2020,AL,32.3182,-86.9023,4307,118,1444.428468434293,2.73972602739726
2.0,04-15-2020,AK,61.3707,-152.4044,293,9,1449.4378075078337,3.0716723549488054
4.0,04-15-2020,AZ,33.7298,-111.4312,3964,142,622.4998169320226,3.5822401614530777
5.0,04-15-2020,AR,34.9697,-92.3731,1569,33,843.3284009784371,2.103250478011472
6.0,04-15-2020,CA,36.1162,-119.6816,26353,873,552.13878988855,3.3089211854437823
8.0,04-15-2020,CO,39.0598,-105.3111,7956,328,698.4525517252819,4.122674710910005
9.0,04-15-2020,CT,41.5978,-72.7554,14755,868,1406.4225404574722,5.882751609623856
10.0,04-15-2020,DE,39.3185,-75.5071,2014,68,1345.5005524952658,3.3763654419066533
12.0,04-15-2020,FL,27.7663,-81.6868,22511,596,1722.374196126901,2.647594509350984
13.0,04-15-2020,GA,33.0406,-83.6431,14987,552,632.0891201278025,3.683192099819844
15.0,04-15-2020,HI,21.0943,-157.4983,524,9,1398.7283388873743,1.717557251908397
16.0,04-15-2020,ID,44.2405,-114.4788,1473,39,956.1023708830256,2.6476578411405294
17.0,04-15-2020,IL,40.3495,-88.9861,24593,949,996.3569986263228,3.858821615906965
18.0,04-15-2020,IN,39.8494,-86.2583,8960,567,739.5483553316217,6.328125
